Bedrooms,Area,City_Distance,Age,Price
1,26.18409786440993,1286.68,67,96004.80455671564
1,34.86690091132422,1855.25,30,92473.72257
1,36.98070899,692.09,24,98112.51994
1,17.445723141767346,1399.49,66,92118.32687438914
1,52.58764598114736,84.65,3,98976.65317568764
1,22.42558366057072,1901.1,23,91491.71410688048
1,33.033900080192495,1833.94,0,93381.40943538066
1,27.883480297324738,1384.89,12,93503.28460021505
1,69.76510032461343,640.89,18,98708.32354823046
1,37.79624700934454,1754.86,80,90417.77739342528
1,25.972248887505547,980.75,53,90826.72262457844
1,15.82402937,220.44,9,96201.26133417065
1,55.78965931585402,398.23,73,92331.74129780196
1,18.117146727205075,948.58,83,95406.64328151668
1,12.953612974274549,970.14,18,92388.24022799496
1,24.89051934537398,512.25,71,91176.86558217047
1,46.63392338629548,1390.39,41,92008.38617301692
1,39.02332910983367,1392.06,62,93067.11075084053
1,45.29741932620586,1991.02,35,90377.29847303672
1,40.56898464,1999.52,31,93390.72322236332
1,47.30642962,1452.09,54,91745.71269658522
1,28.354293744702368,1123.37,51,91118.25200844796
1,33.635286288077005,1146.35,82,91642.50275234925
1,55.55520827020132,661.01,65,94111.59723222617
1,17.640223433395327,1703.53,31,91784.44117198868
1,34.42418621911935,836.6,34,93281.38693
1,26.852371611205708,110.1,25,99134.76254566014
1,16.905755441634255,242.86,60,96919.52437698784
1,54.44852992803085,1835.76,26,88051.51092686906
1,32.07543846896682,1300.11,62,89539.04085
1,38.63497643819561,1992.27,20,89185.12772960926
1,36.07427806176688,325.13,12,96514.31063
1,45.03262177168381,821.4,0,98028.86044684755
1,10.989544879020086,207.55,85,95157.32326202642
1,51.174872216096105,730.03,81,94831.82138
1,15.640120457902512,1479.34,45,93512.21160154592
1,51.959961809152766,1426.65,43,90188.07452486396
1,31.20640957813348,1725.46,6,89399.44753528992
1,37.55036191153535,1141.37,65,94072.05953460305
1,24.182682338843968,1897.85,89,88488.23653910944
1,64.48834922646138,317.52,68,97784.60521113302
1,11.224959126271056,872.71,45,90623.26291215274
1,38.88293554077042,70.03,20,98211.38964123676
1,44.00304302766422,791.05,3,95728.25048326048
1,77.61982633868416,1498.58,61,92986.53512505454
1,31.609129644390062,1507.25,66,90738.41513
1,52.79642060870256,1097.86,42,91038.94895
1,29.55405657880599,61.9,33,95844.5636
1,33.12160742448023,1935.93,47,93170.54148556682
1,29.50732514935721,1307.15,2,92580.69071157149
1,58.53883747824448,1097.05,8,96228.88145981904
1,28.768852117896284,1961.83,64,89862.53588191036
1,16.17661255466114,1450.79,95,89382.5869
1,57.13229124194944,1541.94,58,89065.55793487298
1,41.21376036393378,1055.15,62,89639.81114
1,41.21047459132183,1019.11,9,94222.22936776852
1,28.765730627304364,1639.05,60,89020.97626001021
1,28.33361492053257,591.86,3,96666.25659916952
1,29.045629965031253,118.74,76,94894.01406753552
1,50.38741758123072,1082.27,34,91117.83482963276
1,19.226670953977912,1826.01,57,91152.71317293402
1,31.924755547556742,1710.06,11,92501.88877262305
1,21.68272033864151,485.69,27,97690.66586307244
1,37.63857882893451,711.13,6,94468.83942287877
1,22.78741071436285,1034.78,87,91300.18515874498
1,59.972505727946974,1093.92,85,93231.33084993513
1,38.99367397630009,843.2,32,95522.52239885843
1,47.87032950833661,419.47,78,91615.98568236094
1,51.95295834614579,137.91,94,95801.14522655058
1,25.39947936217072,1542.74,33,91232.50633353938
1,14.948701371174591,948.91,46,93534.51766246423
1,28.48998247,1987.03,76,88606.09179951093
1,19.700567739365017,1031.72,3,91228.25528556532
1,41.00452180568925,1009.41,52,97312.32350660884
1,28.34823686,1948.55,84,89187.46908800484
1,50.23210786,1438.12,8,94336.51702888898
1,62.76054238330106,1691.53,54,90229.87376
1,38.15604713556793,520.33,75,92713.61674
1,44.99096257407486,1838.95,8,93347.84241402095
1,68.77090419486532,1335.34,75,94713.15754500836
1,31.65921698129371,1291.66,87,88944.27543285635
1,44.66248926852066,617.55,31,94419.85011756286
1,56.09680415021404,1353.19,61,90102.95975204885
1,50.96089483264763,1056.68,73,92119.29772925437
1,34.48506963730986,1882.43,54,92161.63983954088
1,36.096884716477376,387.52,72,96801.67729364157
1,36.09854486765731,1417.05,62,89538.15732511133
1,44.76206002170559,1022.48,90,90902.21097797168
1,38.77983123,1298.74,11,92163.05433955764
1,41.14484872967498,1089.23,71,94936.59937
1,46.025646,287.23,72,96151.55148
1,20.754129058287383,507.3,21,97148.86375322832
1,49.91737871883282,1511.67,61,89981.26338
1,36.87340339,1060.64,11,94723.44370455074
1,33.36922637081455,33.91,4,100558.64963273372
1,12.660234423667752,728.36,73,94999.98115354237
1,27.381830890947363,1168.25,64,91989.77348647086
1,45.80074904264539,716.83,40,92890.3715
1,64.97119762102817,1936.97,32,94367.67809935182
1,21.51358855115697,877.97,86,93409.76923415152
